"score","var"
1.896,"LBXTC"
2.29,"LBDTCSI"
7.441,"SMAQUEX2"
1.964,"WTDRD1"
0.235,"WTDR2D"
0.378,"DR1EXMER"
1.175,"DRDINT"
1.144,"DR1DBIH"
0.321,"DR1DAY"
1.319,"DR1LANG"
1.034,"DBQ095Z"
0.6,"DRQSPREP"
0.33,"DRQSDIET"
0.694,"DR1TNUMF"
4.868,"DR1TKCAL"
1.441,"DR1TPROT"
1.843,"DR1TCARB"
6.02,"DR1TSUGR"
4.878,"DR1TFIBE"
1.577,"DR1TTFAT"
1.507,"DR1TSFAT"
2.881,"DR1TMFAT"
1.028,"DR1TPFAT"
1.464,"DR1TCHOL"
0.911,"DR1TATOC"
1.152,"DR1TATOA"
0.427,"DR1TRET"
0.634,"DR1TVARA"
0.566,"DR1TACAR"
0.54,"DR1TBCAR"
0.215,"DR1TCRYP"
0.733,"DR1TLYCO"
1.713,"DR1TLZ"
1.703,"DR1TVB1"
1.766,"DR1TVB2"
2.458,"DR1TNIAC"
0.487,"DR1TVB6"
1.264,"DR1TFOLA"
0.73,"DR1TFA"
1.034,"DR1TFF"
1.069,"DR1TFDFE"
0.962,"DR1TCHL"
0.249,"DR1TVB12"
1.5,"DR1TB12A"
1.17,"DR1TVC"
1.948,"DR1TVD"
0.215,"DR1TVK"
1.05,"DR1TCALC"
1.846,"DR1TPHOS"
1.521,"DR1TMAGN"
1.369,"DR1TIRON"
0.991,"DR1TZINC"
1.395,"DR1TCOPP"
1.008,"DR1TSODI"
2.463,"DR1TPOTA"
0.842,"DR1TSELE"
1.368,"DR1TCAFF"
1.523,"DR1TTHEO"
0.886,"DR1TALCO"
1.992,"DR1TMOIS"
1.071,"DR1TS040"
0.832,"DR1TS060"
1.367,"DR1TS080"
0.743,"DR1TS100"
0.391,"DR1TS120"
0.914,"DR1TS140"
1.23,"DR1TS160"
1.709,"DR1TS180"
1.5,"DR1TM161"
1.952,"DR1TM181"
1.469,"DR1TM201"
0.709,"DR1TM221"
1.092,"DR1TP182"
1.717,"DR1TP183"
0.99,"DR1TP184"
0.947,"DR1TP204"
0.971,"DR1TP205"
0.678,"DR1TP225"
0.513,"DR1TP226"
0.614,"DR1_300"
0.881,"DR1_320Z"
2.381,"DR1_330Z"
0.886,"DR1BWATZ"
0.453,"DR1TWS"
0.811,"DRD340"
0.8,"DRD360"
0.696,"SDDSRVYR"
3.315,"RIDEXMON"
16.237,"RIAGENDR"
4.361,"RIDAGEYR"
2.634,"RIDRETH1"
1.055,"DMDCITZN"
0.568,"DMDHHSIZ"
0.372,"DMDFMSIZ"
0.963,"INDHHIN2"
0.754,"INDFMIN2"
0.507,"INDFMPIR"
0.815,"DMDHRGND"
0.681,"DMDHRAGE"
1.043,"DMDHREDU"
0.345,"DMDHRMAR"
4.056,"SIALANG"
1.978,"SIAPROXY"
1.402,"SIAINTRP"
1.505,"FIALANG"
0,"FIAPROXY"
1.875,"FIAINTRP"
2.104,"MIALANG"
2.691,"MIAPROXY"
0.688,"MIAINTRP"
0.939,"WTINT2YR"
0.944,"WTMEC2YR"
1.279,"SDMVPSU"
1.413,"SDMVSTRA"
2.049,"BPAARM"
3.24,"BPACSZ"
1.319,"BPXPLS"
1.662,"BPXPULS"
1.661,"BPXPTY"
1.872,"BPXML1"
3.295,"BPXSY1"
2.582,"BPXDI1"
1.432,"BPAEN1"
1.759,"BPXSY2"
1.575,"BPXDI2"
1.459,"BPAEN2"
1.311,"BPXSY3"
1.415,"BPXDI3"
1.717,"BPAEN3"
1.875,"BMDSTATS"
12.292,"BMXWT"
13.261,"BMXHT"
6.683,"BMXBMI"
2.893,"BMXLEG"
9.608,"BMXARML"
3.583,"BMXARMC"
9.583,"BMXWAIST"
0.861,"RIDRETH3"
14.829,"DMDBORN4"
1.232,"DMDHHSZA"
1.285,"DMDHHSZB"
2.106,"DMDHHSZE"
