"","var","rel.inf"
"BMXWT","BMXWT",23.79412395923
"BMXWAIST","BMXWAIST",14.2077430805918
"BMXARML","BMXARML",9.1444597785012
"BMXHT","BMXHT",8.97781402305599
"DMDBORN4","DMDBORN4",7.84043838967297
"SMAQUEX2","SMAQUEX2",6.10772723586375
"RIDAGEYR","RIDAGEYR",5.18125629998283
"DR1TSUGR","DR1TSUGR",3.1731470975967
"RIAGENDR","RIAGENDR",2.98618306348465
"DR1TCARB","DR1TCARB",1.62097701069228
"DR1TFIBE","DR1TFIBE",1.54852038278512
"BMXBMI","BMXBMI",1.37864459761205
"LBXTC","LBXTC",1.37770936557783
"BPXSY1","BPXSY1",1.13491698893338
"DR1TKCAL","DR1TKCAL",1.07332811907802
"BPXSY2","BPXSY2",0.856283618975593
"BPXSY3","BPXSY3",0.821365692470322
"BMXARMC","BMXARMC",0.59521695336628
"DR1TM161","DR1TM161",0.441470695591847
"BMXLEG","BMXLEG",0.420048645141149
"DR1TVB1","DR1TVB1",0.358894145976987
"DR1TMAGN","DR1TMAGN",0.35245863311149
"BPXML1","BPXML1",0.322127303106683
"DR1TFF","DR1TFF",0.305638310836032
"DR1TATOC","DR1TATOC",0.239513805646022
"SIAPROXY","SIAPROXY",0.224542054553331
"WTMEC2YR","WTMEC2YR",0.217408244091372
"DR1TSODI","DR1TSODI",0.21558147118504
"DR1TSELE","DR1TSELE",0.207308872304181
"DR1TP204","DR1TP204",0.19342499832109
"DR1TIRON","DR1TIRON",0.187327626329739
"RIDEXMON","RIDEXMON",0.179889787984533
"DR1TS180","DR1TS180",0.179499166284466
"DR1TPOTA","DR1TPOTA",0.152507135306386
"DR1TCHOL","DR1TCHOL",0.145273068869394
"DR1TALCO","DR1TALCO",0.142302352366451
"DR1TNIAC","DR1TNIAC",0.141414766694237
"WTINT2YR","WTINT2YR",0.135098778485835
"DR1TMFAT","DR1TMFAT",0.127699086393125
"WTDRD1","WTDRD1",0.122600682153555
"DR1TCALC","DR1TCALC",0.114633928281998
"SDMVSTRA","SDMVSTRA",0.112558053413168
"DR1TVARA","DR1TVARA",0.109339356513219
"DMDHRAGE","DMDHRAGE",0.105951416489271
"DR1TPROT","DR1TPROT",0.103506921657191
"DR1TCHL","DR1TCHL",0.0994198640426337
"DR1TFOLA","DR1TFOLA",0.0934079180285669
"DR1TS080","DR1TS080",0.0920163554474598
"DR1TS120","DR1TS120",0.0917261289434427
"DR1TM221","DR1TM221",0.0912034729611505
"DR1TPHOS","DR1TPHOS",0.0850964405965891
"DR1TZINC","DR1TZINC",0.0822609708376235
"DR1TVB2","DR1TVB2",0.0815957286053427
"DR1TMOIS","DR1TMOIS",0.0813259731653222
"DMDHRGND","DMDHRGND",0.0806302010703595
"BPXDI3","BPXDI3",0.0726209303046527
"DR1TP225","DR1TP225",0.0679100917765994
"DR1TM181","DR1TM181",0.0678397129866574
"DR1TVK","DR1TVK",0.0675502876345934
"DR1TCOPP","DR1TCOPP",0.067306753505278
"DR1TSFAT","DR1TSFAT",0.0650851927910351
"BPXDI2","BPXDI2",0.0646450080307829
"WTDR2D","WTDR2D",0.0614602408779466
"DR1TTFAT","DR1TTFAT",0.0607680993935843
"DR1TLYCO","DR1TLYCO",0.0555345419455658
"DR1TCAFF","DR1TCAFF",0.0535490505519661
"DR1TP184","DR1TP184",0.0529336690689393
"DR1_330Z","DR1_330Z",0.052900663433529
"DR1TS140","DR1TS140",0.0524360644254011
"SEQN","SEQN",0.0490404598719898
"DR1TCRYP","DR1TCRYP",0.0489353983476724
"DR1TP182","DR1TP182",0.0489264560524592
"DR1TS160","DR1TS160",0.0469432227566557
"DR1TTHEO","DR1TTHEO",0.0468447748538402
"DR1TVC","DR1TVC",0.0430051474521984
"DR1TVD","DR1TVD",0.0417070293875638
"DR1TM201","DR1TM201",0.0344262177741132
"DR1TRET","DR1TRET",0.0326785922983898
"DR1TP183","DR1TP183",0.0312115921358997
"RIDRETH1","RIDRETH1",0.0307350053263557
"DR1TPFAT","DR1TPFAT",0.0298292782848698
"DR1TFA","DR1TFA",0.0285490276169537
"DR1_320Z","DR1_320Z",0.0281006049718269
"DR1TACAR","DR1TACAR",0.027635771028769
"DR1DAY","DR1DAY",0.0243032132194193
"DR1TP205","DR1TP205",0.024065962364398
"DR1TNUMF","DR1TNUMF",0.0236540486138567
"DR1TS040","DR1TS040",0.0216958288492912
"DR1TFDFE","DR1TFDFE",0.0208701226828295
"DR1TLZ","DR1TLZ",0.0203085060760472
"DR1TVB12","DR1TVB12",0.0197214511324648
"DR1EXMER","DR1EXMER",0.0171120245689652
